"seller_id","cluster7"
"114","516e7738bd8f735ac19a010ee5450d8d",3
"115","52a50b42accf164f9f019941e5759d9b",2
"116","53088c75f948b48a7ece173ac17f0c12",1
"117","535bf14f36346c7f59d87cece104d70c",2
"118","539ed9e19811677513447759be5eccfc",2
"119","54583ab379489add547fe47b628db589",2
"120","54c04bdb5ec46762f8f08c7e8f86ed4a",2
"121","556a6409838156ea299c9d1f9e2dde43",2
"122","55c26bcb609f480eb7868594245febb5",2
"123","5670f4db5b62c43d542e1b2d56b0cf7c",2
"124","56e361f411e38dcef17cdc2a3d99628b",2
"125","57df9869a600bd6b7c405f2a862eccfb",2
"126","58f1a6197ed863543e0136bdedb3fce2",2
"127","594f9aaa48e5bf431f011ddc5669b0d5",2
"128","596849622429351f47b32e6cae1055ff",2
"129","59bbc819b99a733f02f0d6b49d1c253d",1
"130","59cea8e446d3834393058e7e0666b6fb",2
"131","5a4236931428800e9d9cc04af0987118",1
"132","5b0cc932433fa5184b5b94bfe6bcc256",2
"133","5bc24d989e71e93c33e50a7782431b0e",2
"134","5bf397d04035b5f45cc41e82ec106803",2
"135","5c3460cd3e8a984382ae254e7dd20d9f",2
"136","5dc203c7b84a0e71e878a179de05fb9a",2
"137","5e063e85d44b0f5c3e6ec3131103a57e",1
"138","5e105f5c9f63f5f1fd75d6cb942e55b1",2
"139","5e9f5bd34e0830569f05c9d4f56e04a8",2
"140","5f57db27027655e6c6a391601daa0258",1
"141","5f5a58930c3c35f3b5af264f34fb8c85",1
"142","6025c79c035c3d772133b8b8238463b2",1
"143","6061155addc1e54b4cfb51c1c2a32ad8",2
"144","612170e34b97004b3ba37eae81836b4c",3
"145","61b18775be84fb700a6b2d0ba097bf66",2
"146","623ad9d0c1e14bb5464a8c72bff7b4af",2
"147","64c9a1db4e73e19aaafd3286dc448c96",1
"148","651530bf5c607240ccdd89a30c9c9712",2
"149","6548c2550b6e2d8f18053216e1c7b6f3",1
"150","657969cca82e884d272385ec0ef06edd",2
"151","65febd49fd28ec955651299159b1f527",2
"152","671585f5a2af58b6e276bc01003c0d2b",2
"153","674207551483fec113276b67b0d871ff",1
"154","693660429f9dc4ff704eb3d88dad54d7",2
"155","698f5fa55a5f73d0740e9d9a773e8093",2
"156","6a38087bc8ad4f89ff453561005f6dea",2
"157","6a53b90c3ad9e0b56d9fe5c69165fff5",2
"158","6aa3928696eab49a19a466e665a649fd",2
"159","6b3bd31ad8fcda4b2635ec9f3ff2ecdf",2
"160","6b90f847357d8981edd79a1eb1bf0acb",2
"161","6bd503a8230299c9316fb0f726933927",2
"162","6c99c983ce3b6ba0ab813e6790e81691",2
"163","6e4a902d1054e4e17aa6eab87fac1c75",2
"164","6ebf4eceee4dd9847201c82e77ef8123",1
"165","6eeed17989b0ae47c9f11ece6f38ea90",2
"166","6f835fd4be26989b1b064399da346143",1
"167","6f83d9e4da896daae20b9b6b2d3ff8d2",2
"168","70bf57d811208f8923b41bbd499a67a4",2
"169","70c27847eca8195c983ed7e798c56743",3
"170","7210cd29727d674c00741e5e387b3ccd",2
"171","7238a95bb63ef7e498389fb863b834a1",2
"172","723cd880edaacdb998898b67c8f9da30",2
"173","72c38a04bd6a1c3dbc5298425a0db86d",2
"174","74636e24f01da9268b0ed88dacd8513e",2
"175","751e274377499a8503fd6243ad9c56f6",1
"176","761681a821d8275bc79f552116d06869",1
"177","762fafdaa57a532ee0119731697579dd",1
"178","76ea5315acb3f5f7ade3cd261faf922a",2
"179","77a515caa36327151d1cc6c32a9f00e1",2
"180","7816cd9c5b1238e320545f5bf7eb80e8",2
"181","788e857f317e53de488d393e65a80f45",1
"182","7adbd3210a7b3cc2235e225eef33574d",2
"183","7ade73f1b9b4e965f9009a4c3a7e2c15",2
"184","7b98de631987e26dd6d803490c43a13c",2
